"species","device_id","deployment_site","track_start","track_end","n_loc"
"Balaenoptera bonaerensis",112750,"WAP","2012-06-08 04:56:16","2013-08-08 00:14:34",2559
"Balaenoptera bonaerensis",112745,"WAP","2012-06-09 04:35:57","2013-05-29 06:12:32",2301
"Balaenoptera bonaerensis",112748,"WAP","2012-06-12 04:07:05","2013-02-25 18:43:52",192
"Balaenoptera bonaerensis",112733,"WAP","2013-02-08 19:59:22","2013-02-10 06:05:59",34
"Balaenoptera bonaerensis",112734,"WAP","2013-02-09 05:57:08","2013-02-22 07:48:14",320
"Balaenoptera bonaerensis",112747,"WAP","2013-02-09 12:32:16","2013-05-30 23:33:07",1428
"Balaenoptera bonaerensis",112736,"WAP","2013-02-09 12:32:19","2013-03-17 05:16:08",764
"Balaenoptera bonaerensis",112731,"WAP","2013-02-09 18:12:52","2013-02-23 11:01:23",249
"Balaenoptera bonaerensis",112732,"WAP","2013-02-25 01:35:29","2013-03-03 23:16:01",25
"Balaenoptera bonaerensis",131101,"WAP","2013-12-15 12:42:39","2013-12-20 21:44:15",53
"Balaenoptera bonaerensis",131107,"WAP","2014-02-12 20:32:42","2014-03-10 13:33:44",164
"Balaenoptera bonaerensis",131108,"WAP","2015-02-23 18:13:00","2015-03-13 11:25:23",605
"Balaenoptera bonaerensis",131117,"Weddell","2016-02-28 19:29:15","2016-03-15 04:14:08",328
"Balaenoptera bonaerensis",131120,"Weddell","2016-02-28 22:36:08","2016-03-13 08:00:30",346
"Balaenoptera bonaerensis",154184,"Weddell","2016-02-29 00:29:22","2016-03-05 12:57:13",15
"Balaenoptera bonaerensis",131118,"Weddell","2016-03-02 02:28:41","2016-03-17 06:20:44",146
"Balaenoptera bonaerensis",166116,"WAP","2017-03-01 14:57:11","2017-03-13 11:18:11",299
"Balaenoptera bonaerensis",166118,"WAP","2017-03-01 19:52:02","2017-03-11 08:06:49",193
"Balaenoptera bonaerensis",166115,"WAP","2017-03-02 06:33:34","2017-03-15 12:41:42",259
